==1449== Lackey, an example Valgrind tool
==1449== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1449== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==1449== Command: ./benchmarks/native/memory_walk
==1449== Parent PID: 554
==1449== 
I  04001100,3
I  04001103,5
 S 1ffefff9c8,8
I  04001df0,4
I  04001df4,1
 S 1ffefff9c0,8
I  04001df5,3
I  04001df8,2
 S 1ffefff9b8,8
I  04001dfa,3
I  04001dfd,2
 S 1ffefff9b0,8
I  04001dff,2
 S 1ffefff9a8,8
I  04001e01,2
 S 1ffefff9a0,8
I  04001e03,1
 S 1ffefff998,8
I  04001e04,4
I  04001e08,2
I  04001e0a,4
I  04001e0e,3
I  04001e11,7
I  04001e18,7
 S 0402d5e0,8
I  04001e1f,7
 L 0402de68,8
I  04001e26,3
I  04001e29,7
 L 0402e000,8
I  04001e30,7
 S 0402e9f8,8
I  04001e37,7
 S 0402e9e8,8
I  04001e3e,3
I  04001e41,2
I  04001e43,5
I  04001e48,6
I  04001e4e,5
I  04001e53,6
I  04001e59,7
I  04001e60,6
I  04001e66,6
I  04001e6c,6
I  04001e72,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea98,8
I  04001ea9,4
 L 0402de78,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea48,8
I  04001ea9,4
 L 0402de88,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001e78,3
I  04001e7b,3
I  04001e7e,4
I  04001e82,6
I  04002070,3
I  04002073,3
I  04002076,3
I  04002079,3
I  0400207c,2
I  04002090,3
I  04002093,3
I  04002096,4
I  0400209a,6
I  04002210,3
I  04002213,3
I  04002216,4
I  0400221a,6
I  04002220,3
I  04002223,3
I  04002226,3
I  04002229,4
 S 0402ec88,8
I  0400222d,5
I  04001ea9,4
 L 0402de98,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea50,8
I  04001ea9,4
 L 0402dea8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea58,8
I  04001ea9,4
 L 0402deb8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea78,8
I  04001ea9,4
 L 0402dec8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea80,8
I  04001ea9,4
 L 0402ded8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea40,8
I  04001ea9,4
 L 0402dee8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea38,8
I  04001ea9,4
 L 0402def8,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402eac8,8
I  04001ea9,4
 L 0402df08,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402eae0,8
I  04001ea9,4
 L 0402df18,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea60,8
I  04001ea9,4
 L 0402df28,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea68,8
I  04001ea9,4
 L 0402df38,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001ea5,4
 S 0402ea70,8
I  04001ea9,4
 L 0402df48,8
I  04001ead,4
I  04001eb1,3
I  04001eb4,2
I  04001e9f,4
I  04001ea3,2
I  04001e78,3
I  04001e7b,3
